description,amount,category,subcategory,year,month,recurrent,bank,id
Amazon 6/10,269.99,Moradia,Compras para casa,2024,2,Não,Nubank,0
Supermercado Guanabara,159.41,Alimentação,Mantimentos,2024,2,Sim,Nubank,1
Dm*Spotify,34.90,Gastos Pessoais,Assinaturas,2024,2,Sim,Nubank,2
Pg *Intershop Intersho 7/10,299.90,Moradia,Compras para casa,2024,2,Não,Nubank,3
BRASCON,110.08,Gastos Pessoais,Vestuário,2024,2,Não,C6,4
PAG*CASAMARIA,60.43,Moradia,Compras para casa,2024,2,Não,C6,5
HAVAN PELOTAS,68.98,Moradia,Compras para casa,2024,2,Não,C6,6
FARMACIA SAO JOAO,34.85,Saúde,Medicações,2024,2,Não,C6,7
COBASI PELOT*COBASI,83.31,Diversos,Animais de estimação,2024,2,Não,C6,8
HAVAN PELOTAS,59.46,Moradia,Compras para casa,2024,2,Não,C6,9
HAVAN PELOTAS,86.96,Moradia,Compras para casa,2024,2,Não,C6,10
MARIAFLOR,99.80,Moradia,Compras para casa,2024,2,Não,C6,11
993 SHOPPING PELOTAS,49.98,Diversos,Despesas Diversas,2024,2,Não,C6,12
VLB COMERCIO DE ARTIGO,56.50,Alimentação,Mantimentos,2024,2,Sim,C6,13
AMAZON BR,53.15,Moradia,Compras para casa,2024,2,Não,C6,14
MERCADOLIVRE*6PRODUTO,27.67,Moradia,Compras para casa,2024,2,Não,C6,15
AMAZON MARKETPLACE,86.83,Moradia,Compras para casa,2024,2,Não,C6,16
VINDI  *INVESTIDOR10,19.90,Gastos Pessoais,Assinaturas,2024,2,Sim,C6,17
MERCADOLIVRE*5PRODUTO,95.83,Moradia,Compras para casa,2024,2,Não,C6,18
MERCADOLIVRE*3PRODUTO,27.02,Moradia,Compras para casa,2024,2,Não,C6,19
ZP*PAGTODOS AMOR,63.56,Saúde,Despesas Médicas,2024,2,Não,C6,20
KALUNGA SHOPPING PELOT,8.90,Diversos,Despesas Diversas,2024,2,Não,C6,21
KALUNGA SHOPPING PELOT,11.80,Diversos,Despesas Diversas,2024,2,Não,C6,22
CFC CPR,538.11,Diversos,Despesas Diversas,2024,2,Não,C6,23
COMERCIAL ZAFFARI LOJA,193.32,Alimentação,Mantimentos,2024,2,Sim,C6,24
ATACADAO 122 AS,30.10,Alimentação,Mantimentos,2024,2,Sim,C6,25
SUPERMERCADO GUANABARA,64.19,Alimentação,Mantimentos,2024,2,Sim,C6,26
FARMACIA SAO JOAO,37.88,Saúde,Medicações,2024,2,Não,C6,27
PADARIA VILLA SERRANA,4.50,Alimentação,Mantimentos,2024,2,Não,C6,28
OLDSCHOOLFOODS,86.35,Alimentação,Comer Fora,2024,2,Não,C6,29
COMERCIAL ZAFFARI LOJA,15.88,Alimentação,Mantimentos,2024,2,Sim,C6,30
SUPERMERCADO GUANABARA,78.91,Alimentação,Mantimentos,2024,2,Sim,C6,31
